test	analysis	variable	value
slim	rho_0.0001	d	0.8220620267607095
imp1	rho_0.0001	d	0.8240547602610626
imp2	rho_0.0001	d	0.8240547670170311
slim	rho_0.0001	d	0.8240547678621073
imp1	rho_0.0001	d	0.8224692265605459
imp2	rho_0.0001	d	0.822469220877984
slim	rho_0.0001	d	0.822469225575235
imp1	rho_0.0001	d	0.8234897525061055
imp2	rho_0.0001	d	0.8234897639991885
slim	rho_0.0001	d	0.8234897588799586
imp1	rho_0.0001	d	0.8246768719155473
imp2	rho_0.0001	d	0.824676874785998
slim	rho_0.0001	d	0.8246768707482993
imp1	rho_0.0001	d	0.8247428103730304
imp2	rho_0.0001	d	0.8247428164775892
slim	rho_0.0001	d	0.8247428091538946
imp1	rho_0.0001	d	0.8240755111681742
imp2	rho_0.0001	d	0.8240755230273906
slim	rho_0.0001	d	0.8240755147554588
imp1	rho_0.0001	d	0.8237223772351918
imp2	rho_0.0001	d	0.82372238359884
slim	rho_0.0001	d	0.8237223845404685
imp1	rho_0.0001	d	0.8223348480638557
imp2	rho_0.0001	d	0.8223348488696547
slim	rho_0.0001	d	0.8223348521305824
imp1	rho_0.0001	d	0.8210005168265732
imp2	rho_0.0001	d	0.8210005257074432
slim	rho_0.0001	d	0.8210005211047421
imp1	rho_0.0001	d	0.8205542546413694
imp2	rho_0.0001	d	0.8205542605677294
slim	rho_0.0001	d	0.8205542524541742
imp1	rho_0.0001	d	0.8237141676024444
imp2	rho_0.0001	d	0.8237141704554533
slim	rho_0.0001	d	0.8237141735374951
imp1	rho_0.0001	d	0.8245016302267514
imp2	rho_0.0001	d	0.8245016208786464
slim	rho_0.0001	d	0.8245016273393002
imp1	rho_0.0001	d	0.8231469479994862
imp2	rho_0.0001	d	0.8231469499940891
slim	rho_0.0001	d	0.823146944083225
imp1	rho_0.0001	d	0.8218972777839926
imp2	rho_0.0001	d	0.821897289253078
slim	rho_0.0001	d	0.8218972822155627
imp1	rho_0.0001	d	0.8211206240891721
imp2	rho_0.0001	d	0.8211206120220151
slim	rho_0.0001	d	0.8211206156171631
imp1	rho_0.0001	d	0.8250513363775172
imp2	rho_0.0001	d	0.8250513302747903
slim	rho_0.0001	d	0.8250513347022588
imp1	rho_0.0001	d	0.8225399720345464
imp2	rho_0.0001	d	0.8225399584741183
slim	rho_0.0001	d	0.8225399641670581
imp1	rho_0.0001	d	0.8211849148369329
imp2	rho_0.0001	d	0.8211849132240214
slim	rho_0.0001	d	0.8211849192100539
imp1	rho_0.0001	d	0.8198794084782457
imp2	rho_0.0001	d	0.8198794206674918
slim	rho_0.0001	d	0.819879414298019
imp1	rho_0.0001	d	0.823715339849571
imp2	rho_0.0001	d	0.8237153332742594
slim	rho_0.0001	d	0.823715334420881
imp1	rho_0.0001	d	0.8233615360076176
imp2	rho_0.0001	d	0.8233615234399736
slim	rho_0.0001	d	0.8233615312313083
imp1	rho_0.0001	d	0.8216666584492054
imp2	rho_0.0001	d	0.8216666640681763
slim	rho_0.0001	d	0.8216666666666667
imp1	rho_0.0001	d	0.8232751855902107
imp2	rho_0.0001	d	0.8232751825769131
slim	rho_0.0001	d	0.8232751887529289
imp1	rho_0.0001	d	0.823882714642438
imp2	rho_0.0001	d	0.8238827205161111
slim	rho_0.0001	d	0.8238827154083151
imp1	rho_0.0001	d	0.822090733819175
imp2	rho_0.0001	d	0.8220907281458972
slim	rho_0.0001	d	0.8220907297830375
imp1	rho_0.0001	d	0.8206164282145165
imp2	rho_0.0001	d	0.8206164235799419
slim	rho_0.0001	d	0.8206164287713407
imp1	rho_0.0001	d	0.8267497505925824
imp2	rho_0.0001	d	0.826749757163823
slim	rho_0.0001	d	0.8267497553690065
imp1	rho_0.0001	d	0.8240884966698345
imp2	rho_0.0001	d	0.8240885021844346
slim	rho_0.0001	d	0.8240885010906824
imp1	rho_0.0001	d	0.8240712221612067
imp2	rho_0.0001	d	0.8240712277817834
slim	rho_0.0001	d	0.8240712206813902
imp1	rho_0.0001	d	0.8194966625132631
imp2	rho_0.0001	d	0.8194966567030595
slim	rho_0.0001	d	0.8194966583124478
imp1	rho_0.0001	d	0.823210258171235
imp2	rho_0.0001	d	0.8232102700691062
slim	rho_0.0001	d	0.8232102617438031
imp1	rho_0.0001	d	0.8244150375560475
imp2	rho_0.0001	d	0.8244150309840045
slim	rho_0.0001	d	0.8244150315016051
imp1	rho_0.0001	d	0.8241163867267087
imp2	rho_0.0001	d	0.8241163801838435
slim	rho_0.0001	d	0.8241163885323064
imp1	rho_0.0001	d	0.8233432994432816
imp2	rho_0.0001	d	0.8233433043608118
slim	rho_0.0001	d	0.8233432971489503
imp1	rho_0.0001	d	0.8242324964077345
imp2	rho_0.0001	d	0.824232484610058
slim	rho_0.0001	d	0.8242324898405218
imp1	rho_0.0001	d	0.825593976639694
imp2	rho_0.0001	d	0.8255939767245117
slim	rho_0.0001	d	0.8255939803123229
imp1	rho_0.0001	d	0.8209656484378745
imp2	rho_0.0001	d	0.820965661519558
slim	rho_0.0001	d	0.8209656569891346
imp1	rho_0.0001	d	0.8262988904692039
imp2	rho_0.0001	d	0.8262988918835557
slim	rho_0.0001	d	0.8262988923066579
imp1	rho_0.0001	d	0.8268741861747226
imp2	rho_0.0001	d	0.826874188564404
slim	rho_0.0001	d	0.8268741893644618
imp1	rho_0.0001	d	0.8236453000148164
imp2	rho_0.0001	d	0.8236453001187161
slim	rho_0.0001	d	0.8236453033184287
imp1	rho_0.0001	d	0.8229312881251706
imp2	rho_0.0001	d	0.8229312816415878
slim	rho_0.0001	d	0.8229312823710787
imp1	rho_0.0001	d	0.8196454013058452
imp2	rho_0.0001	d	0.8196453905483858
slim	rho_0.0001	d	0.8196453974532459
imp1	rho_0.0001	d	0.821209112023609
imp2	rho_0.0001	d	0.8212091202988112
slim	rho_0.0001	d	0.8212091144881369
imp1	rho_0.0001	d	0.8217400932965196
imp2	rho_0.0001	d	0.8217400958067209
slim	rho_0.0001	d	0.8217400990523196
imp1	rho_0.0001	d	0.8261670762424417
imp2	rho_0.0001	d	0.8261670725137091
